,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
0,48,Khris Davis,2514,1.9,1.671,0.861,105.9,27.3,2269.0,89.6,89.01,5.93
1,43,J.D. Martinez,2519,1.7,1.537,0.792,105.0,28.2,2118.0,88.8,88.46,6.05
2,40,Joey Gallo,2348,1.7,1.588,0.8059999999999999,107.7,29.4,2164.0,88.6,88.14,5.96
3,39,Jose Ramirez,3002,1.3,1.1520000000000001,0.62,101.3,28.8,2192.0,91.6,91.37,6.09
4,39,Mike Trout,2543,1.5,1.5430000000000001,0.809,106.5,28.0,2203.0,87.8,87.11,5.9
5,38,Nolan Arenado,2592,1.5,1.242,0.654,102.2,29.2,2351.0,89.0,89.0,6.05
6,38,Francisco Lindor,2920,1.3,1.3619999999999999,0.757,104.4,25.8,2143.0,89.2,89.03,6.08
7,38,Giancarlo Stanton,2942,1.3,1.486,0.809,108.5,25.3,2241.0,87.0,86.38,5.9
8,37,Manny Machado,2529,1.5,1.4669999999999999,0.802,105.2,24.8,2322.0,87.8,87.31,5.88
9,37,Nelson Cruz,2282,1.6,1.661,0.883,108.0,25.5,2165.0,87.4,86.45,5.73
10,37,Trevor Story,2555,1.4,1.56,0.802,105.3,28.1,2250.0,87.0,86.74,5.86
11,36,Christian Yelich,2532,1.4,1.6219999999999999,0.855,106.5,26.4,2242.0,87.5,86.91,5.86
12,36,Matt Carpenter,2853,1.3,1.2209999999999999,0.628,102.0,30.8,2232.0,89.3,89.15,6.11
13,35,Jesus Aguilar,2432,1.4,1.455,0.7490000000000001,104.0,29.7,2189.0,89.7,89.05,5.89
14,35,Max Muncy,2066,1.7,1.358,0.691,103.5,30.7,2122.0,89.6,89.32,6.07
15,34,Javier Baez,2245,1.5,1.5930000000000002,0.8290000000000001,105.6,28.0,2263.0,87.8,87.44,5.98
16,34,Rhys Hoskins,2920,1.2,1.2790000000000001,0.677,104.0,29.5,2208.0,91.4,91.34,6.23
